humanidad
humano
persona
gente
hombre
mujer
bebé
niño
adolescente
adulto
anciano
don
señor
caballero
dama
Cuerpo humano y salud
cuerpo
pierna
pie
talón
espinilla
rodilla
muslo
cabeza
cara
boca
labio
diente
ojo
nariz
barba
bigote
cabello
oreja
cerebro
estómago
brazo
codo
hombro
uña
mano
muñeca
palma
dedo
trasero
abdomen
hígado
músculo
cuello
corazón
mente
alma
espíritu
pecho
cintura
cadera
espalda
corazón
sangre
carne
piel
hueso
resfriado
gripe
diarrea
salud
enfermedad
Familia y otras relaciones
familia
amigo
conocido
colega
pareja
esposo
matrimonio
amor
padre
madre
hermano
hijo
abuelo
bisabuelo
nieto
bisnieto
primo
tío
sobrino
Vida
criatura
especie
ser
vida
nacimiento
reproducción
muerte
Geografía
naturaleza
campo
bosque
selva
desierto
costa
playa
río
laguna
mar
cerro
luz
energía
Animales
animal
perro
gato
vaca
cerdo
caballo
oveja
mono
ratón
tigre
conejo
dragón
ciervo
rana
león
jirafa
elefante
pájaro
gallina
gorrión
cuervo
águila
halcón
pez
camarón
langosta
sardina
atún
calamar
pulpo
insecto
bicho
mariposa
polilla
saltamontes
araña
mosca
mosquito
cucaracha
caracol
babosa
lombriz
marisco
molusco
lagarto
serpiente
cocodrilo
Plantas y alimentos
alimento
comida
bebida
vegetal
planta
pasto
flor
fruta
semilla
árbol
hoja
raíz
tallo
hongo
ciruela
pino
bambú
nuez
almendra
castaña
arroz
avena
cebada
trigo
verdura
patatas
judías
rábano
zanahoria
manzana
naranja
plátano
pera
castaño
durazno
tomate
sandía
carne
gaseosa
Tiempo
tiempo
calendario
edad
época
fecha
instante
momento
segundo
minuto
hora
día
semana
entre semana
fin de semana
mes
año
década
siglo
milenio
ayer
hoy
mañana
amanecer
mediodía
tarde
anochecer
noche
lunes
martes
miércoles
jueves
viernes
sábado
domingo
Espacio
ambiente
espacio
entorno
área
superficie
volumen
región
zona
lado
mundo
planeta
sol
luna
estrella
galaxia
universo
clima
despejado
nublado
lluvia
nieve
viento
trueno
rayo
tormenta
cielo
este
oeste
sur
norte
derecha
izquierda
diagonal
exterior
interior
Materiales
calor
agua
hielo
vapor
fuego
gas
aire
tierra
piso
suelo
metal
hierro
oro
plata
plomo
sal
barro
Medidas
peso
metro
milímetro
litro
gramo
kilo
cantidad
total
medida
Sociedad
sociedad
comunidad
reunión
encuentro
estructura
administración
organización
asociación
empresa
equipo
autoridad
cargo
campaña
club
comisión
congreso
consejo
partido
país
nación
gobierno
estado
provincia
departamento
municipio
democracia
dictadura
política
político
presidente
ministro
director
parlamentario
representante
gobernador
policía
bomberos
capital
ciudad
población
pueblo
villa
obligación
libertad
derecho
permiso
prohibición
constitución
ley
decreto
norma
Economía
economía
consumo
demanda
compañía
comercio
mercado
servicio
producto
producción
transacción
almacén
hotel
fábrica
cuenta
boleto
entrada
dinero
billete
vuelto
máquina expendedora
precio
valor
Objetos hechos por el ser humano
Hogar
escritorio
silla
mesa
cama
dormitorio
habitación
cuarto
oficina
panel
puerta
ventana
entrada
hogar
casa
apartamento
edificio
construcción
elevador
escalera
Herramientas
aparato
cámara
aguja
clavo
hilo
cuerda
bolsillo
bolso
bolsa
paraguas
parasol
pantalla
pomo
llave
trancar
arma
escultura
libro
revista
cuadro
grabado
electricidad
corriente
base
pata
conexión
Ropa
ropa
prenda
manga
solapa
botón
cremallera
cinturón
zapato
gafas
pantalón
camisa
camiseta
zapatilla
cordones
abrigo
chaqueta
calcetines
bragas
calzoncillo
sujetador
falda
Transportes
transporte
tránsito
vehículo
tren
subterráneo
camino
vía
ruta
calle
carretera
autopista
avenida
estación
avión
aeropuerto
automóvil
bus
ambulancia
Lenguaje
número
alfabeto
símbolo
punto
coma
raíz
papel
carta
comunicación
expresión
voz
texto
periodismo
periódico
diccionario
documento
informe
noticia
computadora
idioma extranjero
japonés
inglés
chino
alemán
español
francés
Colores
color
blanco
negro
gris
rojo
naranja
amarillo
verde
celeste
azul
violeta
rosa
marrón
Actividades
cultura
autor
actuación
espectador
espectáculo
entretenimiento
arte
cine
dibujo
pintura
música
religión
dios
artículo
educación
escuela
instituto
colegio
universidad
clase
curso
estudio
formación
análisis
investigación
conocimiento
idea
información
dato
forma
manera
modo
estilo
figura
elemento
uso
ciencia
aritmética
historia
geografía
educación física
deporte
carrera
competición
ayuda
favor
apoyo
búsqueda
duda
pregunta
respuesta
cuestión
solicitud
decisión
elección
consejo
sugerencia
orden
control
sistema
trabajo
empleo
profesión
esfuerzo
Números
cero
uno
dos
tres
cuatro
cinco
